Date,Time,Open,High,Low,Close,Volume
20030810,00:00:00,4.925,4.964,4.786,4.855,33
20030811,00:00:00,4.915,5.039,4.752,4.912,2142
20030812,00:00:00,4.925,5.030,4.655,4.765,2281
20030813,00:00:00,4.741,5.084,4.646,4.899,2746
20030814,00:00:00,4.955,5.093,4.806,4.948,2208
20030815,00:00:00,4.965,5.046,4.732,4.854,1148
20030818,00:00:00,4.854,4.978,4.702,4.859,2133
20030819,00:00:00,4.865,5.027,4.730,4.879,2044
20030820,00:00:00,4.889,5.021,4.768,4.992,1806
20030821,00:00:00,4.965,5.046,4.742,4.873,2047
20030822,00:00:00,4.895,5.016,4.745,4.896,1648
20030824,00:00:00,4.929,4.970,4.816,4.855,17
20030825,00:00:00,4.925,5.034,4.794,4.933,1438
20030826,00:00:00,4.935,5.041,4.733,4.879,1775
20030827,00:00:00,4.935,5.180,4.785,5.009,2510
20030828,00:00:00,5.065,5.137,4.864,4.999,1837
20030829,00:00:00,5.055,5.206,4.912,5.004,1884
20030831,00:00:00,5.055,5.055,4.963,5.049,6
20030901,00:00:00,5.036,5.213,4.930,5.009,605
20030902,00:00:00,5.076,5.191,4.773,4.891,2162
20030903,00:00:00,4.945,5.083,4.764,4.955,1766
20030904,00:00:00,4.924,5.058,4.793,4.937,1664
20030905,00:00:00,4.965,5.176,4.812,5.004,2198
20030907,00:00:00,5.055,5.055,4.963,4.999,4
20030908,00:00:00,5.055,5.131,4.863,5.017,2016
20030909,00:00:00,5.025,5.292,4.883,5.124,2558
20030910,00:00:00,5.185,5.283,5.006,5.143,2207
20030911,00:00:00,5.195,5.335,5.033,5.232,2022
20030912,00:00:00,5.245,5.391,5.003,5.101,2532
20030914,00:00:00,5.135,5.135,5.043,5.079,4
20030915,00:00:00,5.135,5.226,4.917,5.072,2496
20030916,00:00:00,5.125,5.244,4.975,5.084,2320
20030917,00:00:00,5.145,5.292,4.968,5.216,1988
20030918,00:00:00,5.202,5.327,4.975,5.119,2602
20030919,00:00:00,5.165,5.313,5.028,5.116,2191
20030921,00:00:00,5.195,5.195,5.129,5.168,4
20030922,00:00:00,5.225,5.353,5.015,5.105,2600
20030923,00:00:00,5.165,5.294,4.969,5.103,2256
20030924,00:00:00,5.155,5.292,4.992,5.193,2122
20030925,00:00:00,5.245,5.340,4.998,5.090,2454
20030926,00:00:00,5.145,5.235,4.924,4.990,2464
20030928,00:00:00,5.056,5.065,4.973,5.009,8
20030929,00:00:00,4.975,5.183,4.832,4.952,2688
20030930,00:00:00,5.015,5.172,4.890,5.009,2884
20031001,00:00:00,5.065,5.137,4.846,4.995,2674
20031002,00:00:00,5.045,5.129,4.861,4.969,2467
20031003,00:00:00,4.974,5.112,4.644,4.771,2614
20031005,00:00:00,4.725,4.835,4.721,4.754,12
20031006,00:00:00,4.805,4.898,4.532,4.699,2902
20031007,00:00:00,4.757,4.908,4.634,4.773,2519
20031008,00:00:00,4.794,4.938,4.643,4.792,2056
20031009,00:00:00,4.796,4.879,4.578,4.725,2737
20031010,00:00:00,4.685,4.925,4.656,4.763,2234
20031012,00:00:00,4.855,4.855,4.750,4.786,4
20031013,00:00:00,4.857,4.959,4.672,4.885,2285
20031014,00:00:00,4.905,5.004,4.701,4.809,2543
20031015,00:00:00,4.865,4.978,4.676,4.819,2438
20031016,00:00:00,4.814,4.999,4.703,4.789,2182
20031017,00:00:00,4.770,4.970,4.680,4.819,1917
20031019,00:00:00,4.886,4.886,4.793,4.829,8
20031020,00:00:00,4.885,5.026,4.664,4.879,2144
20031021,00:00:00,4.935,5.094,4.798,4.945,2643
20031022,00:00:00,4.995,5.152,4.872,5.009,2868
20031023,00:00:00,5.009,5.197,4.908,5.023,2866
20031024,00:00:00,5.085,5.235,4.959,5.093,2012
20031026,00:00:00,5.092,5.092,4.993,5.033,4
20031027,00:00:00,5.105,5.195,4.904,5.035,2047
20031028,00:00:00,5.056,5.184,4.899,4.999,1789
20031029,00:00:00,4.985,5.179,4.897,5.019,2488
20031030,00:00:00,5.075,5.227,4.908,5.005,2342
20031031,00:00:00,5.065,5.207,4.835,4.994,2118
20031103,00:00:00,4.995,5.100,4.744,4.829,2764
20031104,00:00:00,4.885,5.044,4.751,4.939,2037
20031105,00:00:00,4.985,5.059,4.772,4.859,2249
20031106,00:00:00,4.925,5.035,4.754,4.855,2147
20031107,00:00:00,4.895,5.068,4.750,4.939,2449
20031110,00:00:00,4.969,5.097,4.825,4.965,1415
20031111,00:00:00,5.013,5.116,4.855,4.949,1853
20031112,00:00:00,5.005,5.304,4.890,5.169,2347
20031113,00:00:00,5.136,5.376,5.075,5.169,2711
20031114,00:00:00,5.167,5.425,5.081,5.333,2506
20031116,00:00:00,5.335,5.335,5.243,5.279,8
20031117,00:00:00,5.325,5.433,4.990,5.139,2703
20031118,00:00:00,5.136,5.384,4.995,5.259,2431
